timestamp,alert_type
2026-07-10 15:45:41,drowsiness
2026-07-10 15:45:45,drowsiness
2026-07-10 15:45:51,drowsiness
2026-07-10 15:47:23,drowsiness
2026-07-10 15:47:30,drowsiness
2026-07-10 15:48:26,drowsiness
2026-07-10 15:53:53,drowsiness
2026-07-10 15:53:57,drowsiness
2026-07-10 16:06:27,yawn
2026-07-10 16:08:10,drowsiness
2026-07-10 16:08:38,drowsiness
2026-07-10 16:09:20,drowsiness
2026-07-10 16:19:00,drowsiness
2026-07-10 16:19:04,drowsiness
2026-07-10 16:19:41,drowsiness
2026-07-10 16:19:47,drowsiness
2026-07-10 16:20:11,drowsiness
